LotFrontage,Alley,MasVnrType,MasVnrArea,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageQual,GarageCond,PoolQC,Fence,MiscFeature
83.0,,Stone,0.0,Gd,TA,Av,Unf,Unf,,Attchd,2007.0,RFn,TA,TA,,,
70.0,,,0.0,,,,,,,CarPort,1962.0,Unf,TA,TA,,,
50.0,,,0.0,TA,TA,No,Unf,Unf,Gd,BuiltIn,1929.0,RFn,TA,TA,,,
52.0,,,0.0,Gd,TA,Mn,Rec,Unf,,Detchd,1925.0,Unf,Fa,TA,,,
,,,0.0,TA,TA,No,ALQ,Rec,Po,Attchd,1960.0,RFn,TA,TA,,GdWo,
65.0,,,0.0,TA,TA,No,Unf,Unf,,Detchd,1967.0,Unf,TA,TA,,,
80.0,,,0.0,TA,TA,No,Rec,Unf,,Detchd,1963.0,Unf,TA,TA,,MnPrv,
32.0,,BrkFace,116.0,Ex,TA,No,GLQ,Unf,,Attchd,1998.0,Unf,TA,TA,,,
71.0,,,0.0,Ex,TA,No,ALQ,Unf,TA,BuiltIn,2001.0,Fin,TA,TA,,,
52.0,Grvl,,0.0,TA,TA,No,BLQ,Unf,,Detchd,1962.0,Unf,TA,TA,,,
70.0,,,0.0,TA,TA,No,Rec,Unf,,Attchd,1957.0,RFn,TA,TA,,,
71.0,,BrkFace,166.0,TA,TA,Mn,GLQ,Unf,,Detchd,1977.0,Unf,TA,TA,,MnPrv,
60.0,,,0.0,Gd,TA,No,GLQ,Unf,,Attchd,2005.0,Fin,TA,TA,,,
70.0,,,0.0,TA,TA,No,Unf,Unf,,Detchd,1974.0,Unf,TA,TA,,GdWo,
,,,0.0,Gd,TA,Av,ALQ,LwQ,Gd,Attchd,1976.0,Fin,TA,TA,,,
36.0,,,0.0,TA,TA,Av,BLQ,Unf,Fa,Attchd,1972.0,Unf,TA,TA,,,
34.0,Grvl,,0.0,TA,TA,No,Unf,Unf,,Detchd,1916.0,Unf,Fa,Fa,,,
35.0,,BrkFace,218.0,Gd,TA,No,GLQ,Unf,,Detchd,1999.0,Unf,TA,TA,,,
51.0,,,0.0,TA,TA,No,Unf,Unf,,Detchd,1995.0,Unf,TA,TA,,MnPrv,
44.0,,,0.0,Gd,TA,No,GLQ,Unf,TA,Attchd,1976.0,Unf,TA,TA,,,
108.0,,BrkFace,165.0,Gd,TA,No,Unf,Unf,TA,BuiltIn,1999.0,Fin,TA,TA,,,
71.0,,,0.0,TA,TA,No,ALQ,Unf,,Attchd,1983.0,Unf,TA,TA,,,
80.0,,BrkFace,360.0,TA,TA,Gd,GLQ,LwQ,,Attchd,1964.0,RFn,TA,TA,,,
37.0,,BrkFace,170.0,Gd,TA,Av,GLQ,Unf,,Attchd,2003.0,Fin,TA,TA,,,
56.0,,,0.0,Fa,TA,No,Unf,Unf,,,,,,,,,
85.0,,Stone,226.0,Gd,TA,Gd,GLQ,Unf,Gd,Attchd,2003.0,Fin,TA,TA,,,
50.0,,,0.0,TA,TA,No,Rec,Unf,,Attchd,1941.0,Unf,TA,TA,,,
95.0,,BrkFace,1115.0,Gd,TA,Gd,ALQ,Unf,Gd,Attchd,1973.0,Fin,TA,TA,,,
73.0,,BrkFace,442.0,Ex,TA,Av,GLQ,Unf,Gd,Attchd,2003.0,Fin,TA,TA,,,
59.0,Pave,,0.0,Gd,TA,Mn,GLQ,Unf,,Attchd,2004.0,RFn,TA,TA,,,
60.0,,,0.0,Fa,Fa,Mn,Unf,Unf,,Detchd,1920.0,Fin,TA,Fa,,,
40.0,,,0.0,TA,Fa,No,Unf,Unf,,,,,,,,MnPrv,
